3.8953,3.5199,3.6519
3.9167,3.5634,3.6852
3.9381,3.607,3.7186
3.9594,3.6505,3.7519
3.9808,3.6941,3.7852
4.0021,3.7376,3.8185
4.0226,3.78,3.8508
4.0418,3.8207,3.8815
4.0596,3.8595,3.9105
4.0761,3.8964,3.9378
4.0914,3.9314,3.9636
4.106,3.9646,3.9878
4.1199,3.9958,4.0106
4.1333,4.0253,4.032
4.1465,4.0543,4.0537
4.1597,4.0838,4.077
4.173,4.1146,4.1025
4.1866,4.1471,4.1311
4.2008,4.1814,4.1635
4.2159,4.2175,4.2
4.232,4.2552,4.2413
4.2494,4.2946,4.2874
4.268,4.3351,4.3368
4.2881,4.3765,4.3878
4.3095,4.4184,4.4393
4.3325,4.4605,4.4903
4.3568,4.5022,4.5401
4.3823,4.5428,4.5884
4.409,4.582,4.635
4.4367,4.6193,4.6794
4.4652,4.6547,4.7214
4.4942,4.6883,4.7605
4.5236,4.72,4.7965
4.5532,4.7499,4.8291
4.5825,4.7783,4.8586
4.6114,4.8054,4.8853
4.6394,4.8314,4.9093
4.6663,4.8565,4.9309
4.6921,4.8806,4.9507
4.717,4.9039,4.9691
4.7408,4.9264,4.9867
4.7637,4.948,5.0039
4.7857,4.9688,5.0206
4.8069,4.9887,5.0369
4.8273,5.0076,5.0528
4.847,5.0255,5.0683
4.8661,5.0425,5.0835
4.885,5.0584,5.0984
4.9038,5.0732,5.1131
4.9227,5.0871,5.1275
4.9417,5.1001,5.1417
4.961,5.1124,5.1556
4.9807,5.1242,5.1691
5.0007,5.1356,5.1821
5.0209,5.1467,5.1946
5.0412,5.1577,5.2064
5.0614,5.1687,5.2175
5.0814,5.1798,5.2278
5.1011,5.1909,5.2374
5.1202,5.2022,5.2468
5.1386,5.2136,5.2561
5.1562,5.2252,5.2655
5.173,5.2369,5.2753
5.1889,5.2489,5.2855
5.204,5.261,5.2963
5.2181,5.2734,5.3079
5.2315,5.286,5.3199
5.2444,5.2988,5.3319
5.2569,5.312,5.3437
5.2691,5.3254,5.3548
5.2811,5.339,5.3655
5.2929,5.3528,5.3757
5.3046,5.3667,5.3856
5.3161,5.3808,5.3951
5.3276,5.3949,5.4045
5.3392,5.4092,5.4138
5.351,5.4235,5.4231
5.363,5.438,5.4325
5.3752,5.4526,5.4419
5.3875,5.4672,5.4512
5.4,5.4818,5.4604
5.4126,5.4963,5.4695
5.4253,5.5108,5.4784
5.4379,5.5251,5.4871
5.4505,5.5392,5.4957
5.4631,5.553,5.504
5.4756,5.5666,5.5122
5.4879,5.5801,5.5206
5.5,5.5934,5.5292
5.5118,5.6066,5.5382
5.5234,5.6197,5.5476
5.5348,5.6328,5.5575
5.5461,5.6457,5.5681
5.5572,5.6585,5.5793
5.5682,5.6712,5.591
5.5791,5.6838,5.6032
5.5902,5.6963,5.6157
5.6013,5.7086,5.6285
5.6125,5.7208,5.6414
5.6237,5.7329,5.6544
5.6351,5.7447,5.6673
5.6466,5.7564,5.6801
5.6582,5.7678,5.6928
5.6699,5.7789,5.7055
5.6818,5.7898,5.7181
5.6938,5.8004,5.7307
5.706,5.8107,5.7434
5.7184,5.8208,5.7561
5.7311,5.8305,5.7691
5.7439,5.8399,5.7822
5.757,5.8492,5.7956
5.7704,5.8582,5.8091
5.7839,5.8671,5.8227
5.7978,5.876,5.8363
5.8118,5.8848,5.8499
5.8261,5.8937,5.8634
5.8406,5.9026,5.8768
5.8552,5.9115,5.89
5.8701,5.9205,5.903
5.885,5.9296,5.9157
5.8999,5.9388,5.928
5.9149,5.9481,5.94
5.9298,5.9574,5.9516
5.9446,5.9669,5.9629
5.9592,5.9764,5.9738
5.9736,5.9861,5.9846
5.9878,5.9958,5.9951
6.0018,6.0056,6.0054
6.0155,6.0155,6.0155
6.029,6.0254,6.0255
6.0424,6.0354,6.0353
6.0556,6.0454,6.0448
6.0687,6.0555,6.0542
6.0818,6.0655,6.0633
6.0948,6.0757,6.0721
6.1077,6.0858,6.0806
6.1203,6.096,6.0886
6.1328,6.1062,6.0962
6.1449,6.1165,6.1033
6.1566,6.1268,6.1101
6.1678,6.1371,6.1167
6.1782,6.1476,6.1232
6.188,6.1581,6.1295
6.1969,6.1687,6.1357
6.205,6.1794,6.1418
6.2122,6.1903,6.1479
6.2186,6.2012,6.154
6.2242,6.2123,6.1601
6.2293,6.2234,6.1663
6.234,6.2347,6.1726
6.2383,6.2461,6.179
6.2424,6.2575,6.1857
6.2463,6.2691,6.1926
6.2502,6.2807,6.1999
6.2542,6.2924,6.2076
6.2584,6.304,6.2157
6.2627,6.3156,6.2241
6.2674,6.3272,6.233
6.2724,6.3386,6.2424
6.2778,6.3499,6.2523
6.2838,6.3609,6.2626
6.2904,6.3718,6.2735
6.2975,6.3823,6.285
6.3051,6.3926,6.297
6.3132,6.4025,6.3096
6.3218,6.412,6.3227
6.3308,6.4213,6.3363
6.3402,6.4302,6.3502
6.35,6.4388,6.3643
6.3601,6.4472,6.3784
6.3707,6.4554,6.3925
6.3816,6.4634,6.4063
6.3927,6.4712,6.4199
6.404,6.4788,6.433
6.4156,6.4863,6.4455
6.4275,6.4938,6.4574
6.4397,6.5011,6.4686
6.4523,6.5085,6.4788
6.4652,6.5159,6.4882
6.4786,6.5234,6.4969
6.4923,6.5309,6.5049
6.5066,6.5385,6.5123
6.5213,6.5463,6.5191
6.5363,6.5542,6.5254
6.5515,6.5624,6.5311
6.567,6.5707,6.5364
6.5826,6.5793,6.5412
6.5983,6.5881,6.5457
6.6139,6.5971,6.55
6.6295,6.6064,6.554
