-1.4422,-1.9734
-1.4319,-1.9574
-1.4217,-1.9415
-1.4115,-1.9255
-1.4013,-1.9095
-1.391,-1.8935
-1.3808,-1.8775
-1.3706,-1.8616
-1.3604,-1.8456
-1.3501,-1.8296
-1.3399,-1.8136
-1.3297,-1.7976
-1.3194,-1.7817
-1.3092,-1.7657
-1.299,-1.7497
-1.2888,-1.7337
-1.2785,-1.7177
-1.2683,-1.7018
-1.2581,-1.6858
-1.2479,-1.6698
-1.2376,-1.6538
-1.2274,-1.6378
-1.2172,-1.6219
-1.207,-1.6059
-1.1967,-1.5899
-1.1865,-1.5739
-1.1763,-1.5579
-1.166,-1.542
-1.1558,-1.526
-1.1456,-1.51
-1.1354,-1.494
-1.1251,-1.478
-1.1149,-1.4621
-1.1047,-1.4461
-1.0945,-1.4301
-1.0842,-1.4141
-1.074,-1.3981
-1.0638,-1.3822
-1.0535,-1.3662
-1.0433,-1.3502
-1.0331,-1.3342
-1.0229,-1.3183
-1.0126,-1.3023
-1.0024,-1.2863
-0.99219,-1.2703
-0.98197,-1.2543
-0.97174,-1.2384
-0.96151,-1.2224
-0.95129,-1.2064
-0.94106,-1.1904
-0.93083,-1.1744
-0.92061,-1.1585
-0.91038,-1.1425
-0.90015,-1.1265
-0.88993,-1.1105
-0.8797,-1.0946
-0.86947,-1.0787
-0.85925,-1.0628
-0.84902,-1.0469
-0.83879,-1.0311
-0.82857,-1.0155
-0.81834,-1.0001
-0.80811,-0.98487
-0.79789,-0.96996
-0.78766,-0.95536
-0.77743,-0.94107
-0.76721,-0.92702
-0.75698,-0.91319
-0.74675,-0.89956
-0.73653,-0.88609
-0.7263,-0.87272
-0.71607,-0.85943
-0.70585,-0.84618
-0.69562,-0.83293
-0.68539,-0.81967
-0.67516,-0.80633
-0.66494,-0.79288
-0.65471,-0.77927
-0.64448,-0.76557
-0.63426,-0.75181
-0.62403,-0.7381
-0.6138,-0.72451
-0.60358,-0.71114
-0.59335,-0.69798
-0.58312,-0.68501
-0.5729,-0.67217
-0.56267,-0.65943
-0.55244,-0.64673
-0.54222,-0.634
-0.53199,-0.62107
-0.52176,-0.60783
-0.51154,-0.5943
-0.50131,-0.58053
